time_step,source_neuron_1,source_neuron_2,neuron_distance,uniq_s1,uniq_s2,redun_s1_s2,syn_s1_s2,overlapping
19,117,177,0.80877517,0.104697558,0.106102152,0.017795197,0.258366142,0
20,117,177,0.80877517,0.114055615,0.101986178,0.011874727,0.219845113,0
21,117,177,0.80877517,0.089962287,0.110806682,0.010774174,0.208636524,0
22,117,177,0.80877517,0.123890632,0.108896159,0.013117261,0.229356469,0
23,117,177,0.80877517,0.142612999,0.079867411,0.009687293,0.193015452,0
24,117,177,0.80877517,0.09474763,0.081531132,0.008727375,0.216051236,0
25,117,177,0.80877517,0.114449115,0.090450093,0.016151289,0.194855248,0
9,38,218,0.41692983,0.085396647,0.097353601,0.020731766,0.270889616,0.054509913
10,38,218,0.41692983,0.135093024,0.117563012,0.011072979,0.251119234,0.054509913
11,38,218,0.41692983,0.099810561,0.116593295,0.006986935,0.21942513,0.054509913
12,38,218,0.41692983,0.08703255,0.095676355,0.017144462,0.202849655,0.054509913
13,38,218,0.41692983,0.090281977,0.123947599,0.01163182,0.21463679,0.054509913
14,38,218,0.41692983,0.090623452,0.105294843,0.013532023,0.267539585,0.054509913
15,38,218,0.41692983,0.117178171,0.113509538,0.014516677,0.152862581,0.054509913
16,38,218,0.41692983,0.0817692,0.101034821,0.02519799,0.194090078,0.054509913
17,38,218,0.41692983,0.084422367,0.113022625,0.013014199,0.252082699,0.054509913
18,38,218,0.41692983,0.056428033,0.113067147,0.021985732,0.21873956,0.054509913
19,38,218,0.41692983,0.122984527,0.075658277,0.012586895,0.180873142,0.054509913
20,38,218,0.41692983,0.07718718,0.118428876,0.012255348,0.224308737,0.054509913
21,38,218,0.41692983,0.142246306,0.120758759,0.006680288,0.201220518,0.054509913
22,38,218,0.41692983,0.078456163,0.115916134,0.010264294,0.194420756,0.054509913
23,38,218,0.41692983,0.107694052,0.1238301,0.023140139,0.200510574,0.054509913
24,38,218,0.41692983,0.11394979,0.117258702,0.020221118,0.213380843,0.054509913
25,38,218,0.41692983,0.056903886,0.087472907,0.018329575,0.238431322,0.054509913
9,161,226,0.32751119,0.098455156,0.108112478,0.011470727,0.246348424,0.096485649
10,161,226,0.32751119,0.119998963,0.110333497,0.019568236,0.182517802,0.096485649
11,161,226,0.32751119,0.104372015,0.126011953,0.013929007,0.203278355,0.096485649
12,161,226,0.32751119,0.082196486,0.108906166,0.006854977,0.173076485,0.096485649
13,161,226,0.32751119,0.106891767,0.095354352,0.009238788,0.224620937,0.096485649
14,161,226,0.32751119,0.077230406,0.104716447,0.014930957,0.202385514,0.096485649
15,161,226,0.32751119,0.108658315,0.127511,0.013194646,0.190504269,0.096485649
16,161,226,0.32751119,0.08311255,0.126850339,0.008397091,0.16992543,0.096485649
17,161,226,0.32751119,0.101479676,0.096631473,0.009805144,0.207381527,0.096485649
18,161,226,0.32751119,0.100362595,0.099461488,0.010513857,0.18161594,0.096485649
