time_step,a,b,distance,uniq_a,uniq_b,redun,syn
12,3,76,0.4005597175588576,0.0935312095937605,0.12673440039107575,0.025702539472784225,0.22732819857441555
12,141,207,0.3180309532844088,0.13216934056044455,0.07955358953284687,0.015763653432664435,0.19339799584945938
12,104,205,0.5071697379737724,0.08214013688932144,0.10857495783052021,0.014079633906660297,0.18076629804032418
12,76,252,0.2419004110153641,0.1319266826111317,0.07832792305492875,0.02051025704882195,0.18240297747598655
12,117,177,0.5026497636662437,0.11949540862470288,0.10119871727469473,0.024239576968890036,0.2375486545763592
12,38,218,0.38231744107827603,0.08703254969335339,0.09567635500764428,0.01714446231086862,0.20284965465226046
12,161,226,0.4593913787398786,0.08219648591351195,0.10890616617562288,0.006854977353754704,0.17307648527182184
12,85,125,0.18831393296305182,0.1347314242954787,0.11114634542132572,0.01563613077690794,0.20711526522307144
12,194,242,0.6242944376183612,0.06701157741453312,0.10370308538627851,0.012272927302027198,0.2328620205708507
12,107,285,0.3758377049099327,0.06224447169920258,0.11463179553865205,0.013825250700075037,0.1807757138774364
12,14,117,0.046952804459385114,0.10791253881138307,0.1133313748450777,0.03040361081129174,0.24046426229176454
12,55,153,0.42370989352939975,0.12860802156860132,0.12378109688039556,0.017620297117895076,0.23883697695331785
12,72,94,0.49284834270516853,0.1076460995122537,0.07920496325705215,0.010213694373803373,0.19175963301689647
12,30,275,0.29308364188392844,0.08563389404630797,0.08647778933772299,0.013526813914395003,0.11852028649695479
12,267,281,0.585845445807544,0.11880035193344314,0.11204191592089759,0.010090886824779072,0.21680232260693222
12,72,274,0.26740122962721863,0.10686472713705471,0.13794962553652432,0.01099506643992551,0.16503685422705106
12,5,67,0.41451775574671906,0.10284780862834185,0.06876603149592718,0.011345534265055274,0.18151552345530986
12,22,234,0.41036534561828547,0.11141530376090901,0.10522434967841554,0.01712136771174201,0.182181115955804
12,35,51,0.5381231542253295,0.12034218120100021,0.09808754293351786,0.011421856020359875,0.21591380228847745
12,34,236,0.5366878160638134,0.06859757496624701,0.12582602061962192,0.012668243909115834,0.23227210791293773
12,14,59,0.4994942958969655,0.11633454990163299,0.13279799350260238,0.02198159892971399,0.16479385831499016
12,97,182,0.4879262175264937,0.09153195567922413,0.08858286886798128,0.013881724936156345,0.22437076202004036
12,25,28,0.3646860175010932,0.09744170483701863,0.1712390639137373,0.014362466494765053,0.18721185541504148
12,118,290,0.5034127042497766,0.09939424924487503,0.13858483283059422,0.016978562764320415,0.24636504649377677
12,129,216,0.45811259070657034,0.11155018103143324,0.10945716144751291,0.008793837389267645,0.17187486902534044
12,9,225,0.36008141374915614,0.11649369048209955,0.10322803884090513,0.017337735365809764,0.22472335819561673
12,26,261,0.4541546568215291,0.09455984199618547,0.09486547680194458,0.020219249153289112,0.1901722714349643
12,199,229,0.40772643099965866,0.09131461566480041,0.08578047045764987,0.007456182448972948,0.21117623862889534
12,116,122,0.19175053192642613,0.07461052800026952,0.11521975329151479,0.017067782723581393,0.24964367867130655
12,11,46,0.42241476912302806,0.07451745024157967,0.099632056991117,0.027666122104327437,0.23125265179167975
12,121,130,0.4708340307838115,0.11940502567405373,0.09734725921097925,0.021409162099347928,0.21774638229255716
12,38,296,0.22641783984947386,0.09011110300244314,0.10811906146734444,0.014065909427249612,0.19593542546704246
12,201,279,0.06755982765246421,0.07257022516261061,0.09086979208573956,0.014933130870430744,0.20286117125326042
12,52,90,0.5405362027898462,0.10196962540687353,0.08965262657176049,0.005687553800984749,0.22000627253723648
