time_step,a,b,distance,uniq_a,uniq_b,redun,syn
12,14,84,0.09639300792446366,0.11914669295661744,0.09162948660261981,0.01916945628955044,0.18517776876699532
12,25,292,0.33127572488694057,0.08520087117744009,0.09032161555100299,0.026603299194235083,0.17584803315236552
12,12,180,0.43162532092591377,0.14326523267469551,0.1103421750769717,0.015218796697293008,0.16433900856528627
12,146,221,0.1867210950815671,0.09894424341281136,0.09406260509428169,0.01519879056735185,0.16329929567427381
12,19,79,0.4161582274611218,0.1293215433759435,0.10447151769422933,0.014195477264058454,0.19709962800664727
12,108,188,0.45660770854630905,0.10701109545392881,0.11935214259214744,0.013151649164027585,0.15509662771274124
12,191,280,0.585177324950075,0.08912127029375798,0.08798096346688078,0.022135056638375075,0.2074660613336219
12,17,27,0.11127545810428517,0.09682701964722798,0.09805065673700805,0.022326125650494633,0.19221889368415335
12,36,255,0.5365419741419629,0.10161744150279708,0.13883301309303356,0.011066041668020776,0.2069361121220088
12,176,234,0.2618310902672311,0.09495024267985232,0.0923341414463307,0.030011575995852205,0.20894888647136556
